# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618425089655,23085056,50319360,578,468
1618425090749,22495232,49135616,578,468
1618425091818,21929984,48005120,578,468
1618425092926,21348352,46841856,578,468
1618425094161,20660224,45465600,578,468
1618425095249,20062208,44269568,578,468
1618425096290,19513344,43171840,578,468
1618425097363,19177472,42500096,578,468
1618425098404,19177472,42500096,578,468
1618425099462,19177472,42500096,578,468
1618425100532,19177472,42500096,578,468
1618425101594,19177472,42500096,578,468
1618425102740,19177472,42500096,578,468
1618425103827,19177472,42500096,578,468
1618425104884,19177472,42500096,578,468
1618425105957,19177472,42500096,578,468
1618425107075,19177472,42500096,578,468
1618425108185,19177472,42500096,578,468
1618425109254,19177472,42500096,578,468
1618425110321,19177472,42500096,578,468
1618425111367,19177472,42500096,578,468
1618425112476,19177472,42500096,578,468
1618425113564,19177472,42500096,578,468
1618425114665,19177472,42500096,578,468
1618425115723,19177472,42500096,578,468
1618425116808,19177472,42500096,578,468
1618425117906,19177472,42500096,578,468
1618425119004,19144704,42401792,578,468
1618425120113,19144704,42401792,578,468
1618425121204,19144704,42401792,578,468
1618425122285,19144704,42401792,578,468
1618425123349,19144704,42401792,578,468
1618425124467,19144704,42401792,578,468
1618425125563,19144704,42401792,578,468
1618425126687,19144704,42401792,578,468
1618425127765,19144704,42401792,578,468
1618425128872,19144704,42401792,578,468
1618425130020,19144704,42401792,578,468
1618425131088,19144704,42401792,578,468
1618425132188,19144704,42401792,578,468
1618425133252,19144704,42401792,578,468
1618425134333,19144704,42401792,578,468
1618425135427,19144704,42401792,578,468
1618425136598,19144704,42401792,578,468
1618425137794,19144704,42401792,578,468
1618425138964,19144704,42401792,578,468
1618425140134,19144704,42401792,578,468
1618425141301,19144704,42401792,578,468
1618425142383,19144704,42401792,578,468
1618425143478,19144704,42401792,578,468
1618425144576,19144704,42401792,578,468
1618425145676,19144704,42401792,578,468
1618425146799,19144704,42401792,578,468
1618425147909,19144704,42401792,578,468
1618425149029,19144704,42401792,578,468
1618425150125,19144704,42401792,578,468
1618425151241,19144704,42401792,578,468
1618425152313,19144704,42401792,578,468
1618425153425,19144704,42401792,578,468
1618425154518,19144704,42401792,578,468
1618425155621,19144704,42401792,578,468
1618425156715,19144704,42401792,578,468
1618425157793,19144704,42401792,578,468
1618425158880,19144704,42401792,578,468
1618425159953,19144704,42401792,578,468
1618425161026,19144704,42401792,578,468
1618425162135,19144704,42401792,578,468
1618425163207,19144704,42401792,578,468
1618425164314,19144704,42401792,578,468
1618425165380,19144704,42401792,578,468
1618425166454,19144704,42401792,578,468
1618425167522,19144704,42401792,578,468
1618425168586,19144704,42401792,578,468
1618425169654,19144704,42401792,578,468
1618425170713,19144704,42401792,578,468
1618425171741,19144704,42401792,578,468
1618425172800,19144704,42401792,578,468
1618425173854,19144704,42401792,578,468
1618425174901,19144704,42401792,578,468
1618425175993,19144704,42401792,578,468
1618425177036,19144704,42401792,578,468
1618425178119,19144704,42401792,578,468
1618425179242,19144704,42401792,578,468
1618425180349,19144704,42401792,578,468
1618425181466,19144704,42401792,578,468
1618425182529,19144704,42401792,578,468
1618425183634,19144704,42401792,578,468
1618425184692,19144704,42401792,578,468
1618425185775,19144704,42401792,578,468
1618425186886,19144704,42401792,578,468
1618425187983,19144704,42401792,578,468
1618425189076,19144704,42401792,578,468
1618425190166,19144704,42401792,578,468
1618425191301,19144704,42401792,578,468
1618425192437,19144704,42401792,578,468
1618425193555,19144704,42401792,578,468
1618425194672,19144704,42401792,578,468
