# timestamp,line
1618425090437,s1618425090432446976-89.70
1618425090437,s1618425090432446976-24.30
1618425090437,e1618425090432446976-19.85
1618425090437,s1618425090432446976-26.10
1618425090437,s1618425090432446976-72.90
1618425090437,e1618425090432446976-17.85
1618425091443,s1618425091432446976-22.70
1618425091443,s1618425091432446976-76.40
1618425091443,s1618425091432446976-25.30
1618425091443,s1618425091432446976-93.30
1618425091443,e1618425091432446976-18.85
1618425091443,e1618425091432446976-17.89
1618425092444,s1618425092432446976-24.80
1618425092444,s1618425092432446976-19.90
1618425092444,s1618425092432446976-74.80
1618425092444,e1618425092432446976-12.85
1618425092445,s1618425092432446976-78.70
1618425092445,e1618425092432446976-17.92
1618425093448,s1618425093432446976-59.40
1618425093448,s1618425093432446976-22.90
1618425093448,s1618425093432446976-74.30
1618425093448,e1618425093432446976-15.18
1618425093448,s1618425093432446976-17.30
1618425093448,e1618425093432446976-8.75
1618425094443,s1618425094432446976-61.70
1618425094443,s1618425094432446976-50.00
1618425094444,s1618425094432446976-20.00
1618425094444,s1618425094432446976-19.30
1618425094445,e1618425094432446976-10.23
1618425094445,e1618425094432446976-8.64
1618425095438,s1618425095432446976-20.50
1618425095438,s1618425095432446976-19.70
1618425095438,s1618425095432446976-59.40
1618425095438,e1618425095432446976-10.08
1618425095439,s1618425095432446976-55.30
1618425095439,e1618425095432446976-9.84
1618425096437,s1618425096432446976-58.80
1618425096437,s1618425096432446976-19.50
1618425096437,e1618425096432446976-9.87
1618425096437,s1618425096432446976-21.00
1618425096437,s1618425096432446976-63.10
1618425096437,e1618425096432446976-11.56
1618425097446,s1618425097432446976-65.60
1618425097446,s1618425097432446976-56.30
1618425097446,s1618425097432446976-20.60
1618425097446,e1618425097432446976-10.07
1618425097446,s1618425097432446976-21.50
1618425097446,e1618425097432446976-12.37
1618425098445,s1618425098432446976-63.50
1618425098446,s1618425098432446976-77.20
1618425098446,s1618425098432446976-22.00
1618425098446,e1618425098432446976-14.98
1618425098446,s1618425098432446976-20.40
1618425098446,e1618425098432446976-11.23
1618425099442,s1618425099432446976-62.20
1618425099442,s1618425099432446976-76.80
1618425099442,s1618425099432446976-22.50
1618425099442,e1618425099432446976-15.34
1618425099442,s1618425099432446976-23.70
1618425099442,e1618425099432446976-13.31
1618425100436,s1618425100432446976-22.00
1618425100436,s1618425100432446976-23.00
1618425100436,s1618425100432446976-68.10
1618425100437,e1618425100432446976-13.22
1618425100437,s1618425100432446976-84.90
1618425100437,e1618425100432446976-17.45
1618425101449,s1618425101432446976-24.50
1618425101449,s1618425101432446976-24.20
1618425101449,s1618425101432446976-81.00
1618425101449,e1618425101432446976-18.13
1618425101449,s1618425101432446976-73.60
1618425101449,e1618425101432446976-16.20
1618425102445,s1618425102432446976-72.90
1618425102445,s1618425102432446976-89.70
1618425102445,s1618425102432446976-24.30
1618425102446,e1618425102432446976-19.85
1618425102446,s1618425102432446976-26.10
1618425102446,e1618425102432446976-17.85
1618425103442,s1618425103432446976-25.30
1618425103442,s1618425103432446976-76.40
1618425103442,e1618425103432446976-17.89
1618425103442,s1618425103432446976-93.30
