# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618425085786,24207360,52912128,578,406
1618425086822,23658496,51810304,578,406
1618425087835,23134208,50761728,578,406
1618425089053,22368256,49217536,578,406
1618425090206,21729280,47939584,578,406
1618425091282,21164032,46800896,578,406
1618425092399,20557824,45588480,578,406
1618425093557,19918848,44310528,578,406
1618425094748,19247104,42967040,578,406
1618425095813,18935808,42344448,578,406
1618425096913,18935808,42344448,578,406
1618425097944,18935808,42344448,578,406
1618425099033,18935808,42344448,578,406
1618425100110,18935808,42344448,578,406
1618425101142,18935808,42344448,578,406
1618425102250,18935808,42344448,578,406
1618425103353,18935808,42344448,578,406
1618425104453,18935808,42344448,578,406
1618425105564,18935808,42344448,578,406
1618425106620,18935808,42344448,578,406
1618425107734,18935808,42344448,578,406
1618425108804,18935808,42344448,578,406
1618425109870,18935808,42344448,578,406
1618425110928,18935808,42344448,578,406
1618425112044,18935808,42344448,578,406
1618425113116,18935808,42344448,578,406
1618425114201,18935808,42344448,578,406
1618425115252,18907136,42254336,578,406
1618425116321,18907136,42254336,578,406
1618425117416,18907136,42254336,578,406
1618425118496,18907136,42254336,578,406
1618425119575,18907136,42254336,578,406
1618425120672,18907136,42254336,578,406
1618425121726,18907136,42254336,578,406
1618425122825,18907136,42254336,578,406
1618425123918,18907136,42254336,578,406
1618425125013,18907136,42254336,578,406
1618425126123,18907136,42254336,578,406
1618425127206,18907136,42254336,578,406
1618425128291,18907136,42254336,578,406
1618425129418,18907136,42254336,578,406
1618425130495,18907136,42254336,578,406
1618425131589,18907136,42254336,578,406
1618425132671,18907136,42254336,578,406
1618425133748,18907136,42254336,578,406
1618425134858,18907136,42254336,578,406
1618425135933,18907136,42254336,578,406
1618425137135,18907136,42254336,578,406
1618425138339,18907136,42254336,578,406
1618425139495,18907136,42254336,578,406
1618425140652,18907136,42254336,578,406
1618425141756,18907136,42254336,578,406
1618425142837,18907136,42254336,578,406
1618425143900,18907136,42254336,578,406
1618425144984,18907136,42254336,578,406
1618425146044,18907136,42254336,578,406
1618425147146,18907136,42254336,578,406
1618425148226,18907136,42254336,578,406
1618425149304,18907136,42254336,578,406
1618425150388,18907136,42254336,578,406
1618425151478,18907136,42254336,578,406
1618425152533,18907136,42254336,578,406
1618425153619,18907136,42254336,578,406
1618425154704,18907136,42254336,578,406
1618425155785,18907136,42254336,578,406
1618425156854,18907136,42254336,578,406
1618425157919,18907136,42254336,578,406
1618425159012,18907136,42254336,578,406
1618425160062,18907136,42254336,578,406
1618425161133,18907136,42254336,578,406
1618425162200,18907136,42254336,578,406
1618425163273,18907136,42254336,578,406
1618425164385,18907136,42254336,578,406
1618425165440,18907136,42254336,578,406
1618425166533,18907136,42254336,578,406
1618425167597,18907136,42254336,578,406
1618425168674,18907136,42254336,578,406
1618425169758,18907136,42254336,578,406
1618425170820,18907136,42254336,578,406
1618425171880,18907136,42254336,578,406
1618425172938,18907136,42254336,578,406
1618425174002,18907136,42254336,578,406
1618425175055,18907136,42254336,578,406
1618425176114,18907136,42254336,578,406
1618425177157,18907136,42254336,578,406
1618425178183,18907136,42254336,578,406
1618425179253,18907136,42254336,578,406
1618425180328,18907136,42254336,578,406
1618425181446,18907136,42254336,578,406
1618425182512,18907136,42254336,578,406
1618425183582,18907136,42254336,578,406
1618425184697,18907136,42254336,578,406
1618425185813,18907136,42254336,578,406
1618425186915,18907136,42254336,578,406
1618425187977,18907136,42254336,578,406
1618425189069,18907136,42254336,578,406
1618425190160,18907136,42254336,578,406
1618425191297,18907136,42254336,578,406
1618425192374,18907136,42254336,578,406
1618425193478,18907136,42254336,578,406
1618425194565,18907136,42254336,578,406
1618425195779,18907136,42254336,578,406
1618425196833,18907136,42254336,578,406
1618425197957,18907136,42254336,578,406
1618425199058,18907136,42254336,578,406
1618425200180,18907136,42254336,578,406
1618425201266,18907136,42254336,578,406
1618425202400,18907136,42254336,578,406
1618425203537,18907136,42254336,578,406
1618425204670,18907136,42254336,578,406
1618425205812,18907136,42254336,578,406
1618425206916,18907136,42254336,578,406
1618425207978,18907136,42254336,578,406
1618425209045,18907136,42254336,578,406
1618425210124,18907136,42254336,578,406
1618425211224,18907136,42254336,578,406
1618425212272,18907136,42254336,578,406
1618425213372,18907136,42254336,578,406
1618425214426,18907136,42254336,578,406
1618425215503,18907136,42254336,578,406
1618425216627,18907136,42254336,578,406
1618425217687,18907136,42254336,578,406
1618425218771,18907136,42254336,578,406
1618425219858,18907136,42254336,578,406
1618425220905,18907136,42254336,578,406
