# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1619544584513,6533120,7909376,15,15
1619544585454,6533120,7909376,15,15
1619544586326,6533120,7909376,15,15
1619544587153,6533120,7909376,15,15
1619544587992,6533120,7909376,15,15
1619544588989,6533120,7909376,15,15
1619544589891,6533120,7909376,15,15
1619544590714,6533120,7909376,15,15
1619544591512,6533120,7909376,15,15
1619544592365,6533120,7909376,15,15
1619544593184,6533120,7909376,15,15
1619544594044,6533120,7909376,15,15
1619544594886,6533120,7909376,15,15
1619544595752,6533120,7909376,15,15
1619544596616,6533120,7909376,15,15
1619544597459,6533120,7909376,15,15
1619544598349,6533120,7909376,15,15
1619544599288,6533120,7909376,15,15
1619544600113,6533120,7909376,15,15
1619544600940,6533120,7909376,15,15
1619544601748,6533120,7909376,15,15
1619544602548,6533120,7909376,15,15
1619544603374,6533120,7909376,15,15
1619544604202,6533120,7909376,15,15
1619544605032,6533120,7909376,15,15
1619544605850,6533120,7909376,15,15
1619544606633,6533120,7909376,15,15
1619544607497,6533120,7909376,15,15
1619544608314,6533120,7909376,15,15
1619544609121,6533120,7909376,15,15
1619544609914,6533120,7909376,15,15
1619544610709,6533120,7909376,15,15
1619544611661,6533120,7909376,15,15
1619544612452,6533120,7909376,15,15
1619544613270,6533120,7909376,15,15
1619544614073,6565888,8003584,15,15
1619544614870,6565888,8003584,15,15
1619544615679,6565888,8003584,15,15
1619544616460,6565888,8003584,15,15
1619544617256,6565888,8003584,15,15
1619544618029,6565888,8003584,15,15
1619544618840,6565888,8003584,15,15
1619544619646,6565888,8003584,15,15
1619544620445,6565888,8003584,15,15
1619544621244,6565888,8003584,15,15
1619544622054,6565888,8003584,15,15
1619544622842,6565888,8003584,15,15
1619544623627,6565888,8003584,15,15
1619544624406,6565888,8003584,15,15
1619544625195,6565888,8003584,15,15
1619544626013,6565888,8003584,15,15
1619544626838,6565888,8003584,15,15
1619544627836,6565888,8003584,15,15
1619544628780,6565888,8003584,15,15
1619544629663,6578176,8015872,15,15
1619544630500,6578176,8015872,15,15
1619544631346,6578176,8015872,15,15
1619544632185,6578176,8015872,15,15
1619544633026,6578176,8015872,15,15
1619544633884,6578176,8015872,15,15
1619544634731,6578176,8015872,15,15
1619544635563,6578176,8015872,15,15
1619544636380,6578176,8015872,15,15
1619544637184,6578176,8015872,15,15
1619544638001,6578176,8015872,15,15
1619544638860,6578176,8015872,15,15
1619544639713,6578176,8015872,15,15
1619544640552,6578176,8015872,15,15
1619544641410,6578176,8015872,15,15
1619544642253,6578176,8015872,15,15
1619544643077,6578176,8015872,15,15
1619544643887,6516736,7852032,31,15
1619544644719,6516736,7852032,31,15
1619544645556,6516736,7852032,31,15
1619544646390,6516736,7852032,31,15
1619544647268,6516736,7852032,31,15
1619544648103,6516736,7852032,31,15
1619544648927,6516736,7852032,31,15
1619544649790,6516736,7852032,31,15
1619544650707,6516736,7852032,31,15
1619544651601,6516736,7852032,31,15
1619544652594,6516736,7852032,31,15
1619544653531,6516736,7852032,31,15
1619544654432,6516736,7852032,31,15
1619544655277,6516736,7852032,31,15
1619544656169,6516736,7852032,31,15
1619544657019,6516736,7852032,31,15
1619544658012,6516736,7852032,31,15
1619544658911,6516736,7852032,31,15
1619544659887,6516736,7852032,31,15
1619544660785,6516736,7852032,31,15
1619544661661,6516736,7852032,31,15
1619544662561,6516736,7852032,31,15
1619544663468,6516736,7852032,31,15
1619544664358,6516736,7852032,31,15
1619544665314,6516736,7852032,31,15
1619544666217,6516736,7852032,31,15
1619544667242,6516736,7852032,31,15
1619544668205,6516736,7852032,31,15
1619544669056,6516736,7852032,31,15
1619544670047,6516736,7852032,31,15
1619544671026,6516736,7852032,31,15
1619544671925,6516736,7852032,31,15
1619544672843,6516736,7852032,31,15
1619544673725,6516736,7852032,31,15
1619544674679,6516736,7852032,31,15
