# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618425081393,23826432,52527104,546,390
1618425082398,23465984,51687424,578,390
1618425083360,22958080,50667520,578,390
1618425084324,22450176,49651712,578,390
1618425085500,21753856,48259072,578,390
1618425086537,21204992,47161344,578,390
1618425087550,20672512,46096384,578,406
1618425088701,20025344,44802048,578,406
1618425089888,19353600,43458560,578,421
1618425090957,19329024,43409408,578,421
1618425092021,19329024,43409408,578,421
1618425093148,19329024,43409408,578,421
1618425094348,19329024,43409408,578,421
1618425095414,19329024,43409408,578,421
1618425096488,19329024,43409408,578,421
1618425097521,19329024,43409408,578,421
1618425098603,19329024,43409408,578,421
1618425099661,19329024,43409408,578,421
1618425100707,19329024,43409408,578,421
1618425101788,19329024,43409408,578,421
1618425102910,19329024,43409408,578,421
1618425103986,19329024,43409408,578,421
1618425105054,19329024,43409408,578,421
1618425106118,19329024,43409408,578,421
1618425107268,19329024,43409408,578,421
1618425108343,19329024,43409408,578,421
1618425109413,19329024,43409408,578,421
1618425110489,19304448,43327488,578,421
1618425111561,19304448,43327488,578,421
1618425112656,19304448,43327488,578,421
1618425113750,19304448,43327488,578,421
1618425114836,19304448,43327488,578,421
1618425115902,19304448,43327488,578,421
1618425116984,19304448,43327488,578,421
1618425118092,19304448,43327488,578,421
1618425119171,19304448,43327488,578,421
1618425120276,19304448,43327488,578,421
1618425121354,19304448,43327488,578,421
1618425122455,19304448,43327488,578,421
1618425123521,19304448,43327488,578,421
1618425124601,19304448,43327488,578,421
1618425125711,19304448,43327488,578,421
1618425126802,19304448,43327488,578,421
1618425127900,19304448,43327488,578,421
1618425129032,19304448,43327488,578,421
1618425130134,19304448,43327488,578,421
1618425131246,19304448,43327488,578,421
1618425132314,19304448,43327488,578,421
1618425133366,19304448,43327488,578,421
1618425134418,19304448,43327488,578,421
1618425135506,19304448,43327488,578,421
1618425136660,19304448,43327488,578,421
1618425137855,19304448,43327488,578,421
1618425139009,19304448,43327488,578,421
1618425140190,19304448,43327488,578,421
1618425141341,19304448,43327488,578,421
1618425142435,19304448,43327488,578,421
1618425143517,19304448,43327488,578,421
1618425144619,19304448,43327488,578,421
1618425145694,19304448,43327488,578,421
1618425146764,19304448,43327488,578,421
1618425147867,19304448,43327488,578,421
1618425148986,19304448,43327488,578,421
1618425150085,19304448,43327488,578,421
1618425151192,19304448,43327488,578,421
1618425152264,19304448,43327488,578,421
1618425153365,19304448,43327488,578,421
1618425154437,19304448,43327488,578,421
1618425155535,19304448,43327488,578,421
1618425156613,19304448,43327488,578,421
1618425157674,19304448,43327488,578,421
1618425158761,19304448,43327488,578,421
1618425159854,19304448,43327488,578,421
1618425160915,19304448,43327488,578,421
1618425161996,19304448,43327488,578,421
1618425163063,19304448,43327488,578,421
1618425164172,19304448,43327488,578,421
1618425165268,19304448,43327488,578,421
1618425166355,19304448,43327488,578,421
1618425167417,19304448,43327488,578,421
1618425168476,19304448,43327488,578,421
1618425169567,19304448,43327488,578,421
1618425170625,19304448,43327488,578,421
1618425171687,19304448,43327488,578,421
1618425172738,19304448,43327488,578,421
1618425173810,19304448,43327488,578,421
1618425174872,19304448,43327488,578,421
1618425175928,19304448,43327488,578,421
1618425176985,19304448,43327488,578,421
1618425178075,19304448,43327488,578,421
1618425179208,19304448,43327488,578,421
1618425180321,19304448,43327488,578,421
1618425181415,19304448,43327488,578,421
1618425182493,19304448,43327488,578,421
1618425183600,19304448,43327488,578,421
1618425184676,19304448,43327488,578,421
1618425185808,19304448,43327488,578,421
1618425186886,19304448,43327488,578,421
1618425187983,19304448,43327488,578,421
1618425189058,19304448,43327488,578,421
1618425190184,19304448,43327488,578,421
1618425191322,19304448,43327488,578,421
1618425192443,19304448,43327488,578,421
1618425193553,19304448,43327488,578,421
1618425194663,19304448,43327488,578,421
1618425195855,19304448,43327488,578,421
1618425196919,19304448,43327488,578,421
1618425198004,19304448,43327488,578,421
1618425199113,19304448,43327488,578,421
1618425200278,19304448,43327488,578,421
1618425201387,19304448,43327488,578,421
1618425202550,19304448,43327488,578,421
1618425203691,19304448,43327488,578,421
1618425204820,19304448,43327488,578,421
1618425205974,19304448,43327488,578,421
1618425207053,19304448,43327488,578,421
1618425208156,19304448,43327488,578,421
1618425209247,19304448,43327488,578,421
1618425210313,19468288,43655168,578,421
1618425211390,19468288,43655168,578,421
1618425212486,19468288,43655168,578,421
1618425213608,19468288,43655168,578,421
1618425214698,19468288,43655168,578,421
1618425215838,19468288,43655168,578,421
1618425216975,19468288,43655168,578,421
1618425218074,19468288,43655168,578,421
1618425219169,19468288,43655168,578,421
1618425220251,19468288,43655168,578,421
1618425221333,19468288,43655168,578,421
1618425222409,19468288,43655168,578,421
1618425223503,19468288,43655168,578,421
1618425224612,19468288,43655168,578,421
1618425225748,19468288,43655168,578,421
1618425226807,19468288,43655168,578,421
1618425227851,19468288,43655168,578,421
1618425228923,19468288,43655168,578,421
1618425229990,19468288,43655168,578,421
1618425231072,19468288,43655168,578,421
1618425232221,19468288,43655168,578,421
1618425233340,19468288,43655168,578,421
1618425234413,19468288,43655168,578,421
1618425235488,19468288,43655168,578,421
1618425236589,19468288,43655168,578,421
1618425237674,19468288,43655168,578,421
1618425238766,19468288,43655168,578,421
1618425239854,19468288,43655168,578,421
1618425240960,19468288,43655168,578,421
1618425242036,19468288,43655168,578,421
1618425243118,19468288,43655168,578,421
1618425244186,19468288,43655168,578,421
1618425245349,19468288,43655168,578,421
1618425246445,19468288,43655168,578,421
1618425247507,19468288,43655168,578,421
1618425248584,19468288,43655168,578,421
1618425249625,19468288,43655168,578,421
1618425250685,19468288,43655168,578,421
1618425251743,19468288,43655168,578,421
1618425252787,19468288,43655168,578,421
1618425253836,19468288,43655168,578,421
1618425254885,19468288,43655168,578,421
1618425255946,19468288,43655168,578,421
1618425256987,19468288,43655168,578,421
1618425258031,19468288,43655168,578,421
1618425259086,19468288,43655168,578,421
1618425260140,19468288,43655168,578,421
1618425261184,19468288,43655168,578,421
1618425262227,19468288,43655168,578,421
1618425263312,19468288,43655168,578,421
1618425264443,19468288,43655168,578,421
1618425265644,19468288,43655168,578,421
1618425266802,19468288,43655168,578,421
1618425267926,19468288,43655168,578,421
1618425269039,19468288,43655168,578,421
1618425270115,19410944,43532288,578,421
1618425271216,18821120,42352640,578,421
1618425272316,18624512,41959424,578,421
1618425273400,18624512,41959424,578,421
1618425274439,18624512,41959424,578,421
1618425275524,18624512,41959424,578,421
1618425276630,18624512,41959424,578,421
1618425277707,18624512,41959424,578,421
1618425278793,18624512,41959424,578,421
1618425279889,18624512,41959424,578,421
1618425280921,18624512,41959424,578,421
1618425281990,18624512,41959424,578,421
1618425283051,18624512,41959424,578,421
1618425284086,18624512,41959424,578,421
1618425285187,18624512,41959424,578,421
1618425286238,18624512,41959424,578,421
1618425287311,18624512,41959424,578,421
1618425288353,18624512,41959424,578,421
1618425289423,18624512,41959424,578,421
1618425290476,18624512,41959424,578,421
1618425291542,18624512,41959424,578,421
1618425292616,18624512,41959424,578,421
1618425293661,18624512,41959424,578,421
1618425294708,18624512,41959424,578,421
1618425295783,18624512,41959424,578,421
1618425296896,18624512,41959424,578,421
1618425297938,18624512,41959424,578,421
1618425298994,18624512,41959424,578,421
1618425300086,18624512,41959424,578,421
1618425301181,18624512,41959424,578,421
1618425302244,18624512,41959424,578,421
1618425303307,18624512,41959424,578,421
1618425304363,18624512,41959424,578,421
1618425305450,18624512,41959424,578,421
1618425306498,18624512,41959424,578,421
1618425307553,18624512,41959424,578,421
1618425308623,18624512,41959424,578,421
1618425309662,18624512,41959424,578,421
1618425310719,18624512,41959424,578,421
1618425311781,18624512,41959424,578,421
1618425312824,18624512,41959424,578,421
1618425313899,18624512,41959424,578,421
1618425314922,18624512,41959424,578,421
1618425315976,18624512,41959424,578,421
1618425317016,18624512,41959424,578,421
1618425318088,18624512,41959424,578,421
1618425319159,18624512,41959424,578,421
1618425320235,18624512,41959424,578,421
1618425321283,18624512,41959424,578,421
1618425322365,18624512,41959424,578,421
1618425323436,18624512,41959424,578,421
1618425324497,18624512,41959424,578,421
1618425325593,18624512,41959424,578,421
1618425326675,18624512,41959424,578,421
1618425327738,18624512,41959424,578,421
1618425328820,18624512,41959424,578,421
1618425329910,18624512,41959424,578,421
1618425330985,18624512,41959424,578,421
1618425332037,18624512,41959424,578,421
1618425333150,18624512,41959424,578,421
1618425334299,18624512,41959424,578,421
1618425335365,18624512,41959424,578,421
1618425336492,18624512,41959424,578,421
1618425337635,18624512,41959424,578,421
1618425338736,18624512,41959424,578,421
1618425339878,18624512,41959424,578,421
1618425340986,18624512,41959424,578,421
1618425342044,18624512,41959424,578,421
1618425343198,18624512,41959424,578,421
1618425344391,18624512,41959424,578,421
1618425345488,18624512,41959424,578,421
1618425346561,18624512,41959424,578,421
1618425347679,18624512,41959424,578,421
1618425348763,18624512,41959424,578,421
1618425349963,18624512,41959424,578,421
1618425351085,18624512,41959424,578,421
1618425352186,18624512,41959424,578,421
1618425353309,18624512,41959424,578,421
1618425354390,18624512,41959424,578,421
1618425355469,18624512,41959424,578,421
1618425356549,18624512,41959424,578,421
1618425357692,18624512,41959424,578,421
1618425358800,18624512,41959424,578,421
1618425359974,18624512,41959424,578,421
1618425361144,18624512,41959424,578,421
1618425362265,18624512,41959424,578,421
1618425363390,18624512,41959424,578,421
1618425364482,18624512,41959424,578,421
1618425365639,18624512,41959424,578,421
1618425366715,18624512,41959424,578,421
1618425367793,18624512,41959424,578,421
1618425368916,18624512,41959424,578,421
1618425370007,18624512,41959424,578,421
1618425371095,18624512,41959424,578,421
1618425372200,18624512,41959424,578,421
1618425373279,18624512,41959424,578,421
1618425374350,18624512,41959424,578,421
1618425375441,18624512,41959424,578,421
1618425376532,18624512,41959424,578,421
1618425377644,18624512,41959424,578,421
1618425378692,18624512,41959424,578,421
1618425379788,18624512,41959424,578,421
1618425380883,18624512,41959424,578,421
1618425381997,18624512,41959424,578,421
1618425383141,18624512,41959424,578,421
1618425384365,18624512,41959424,578,421
1618425385466,18624512,41959424,578,421
1618425386541,18624512,41959424,578,421
1618425387640,18624512,41959424,578,421
1618425388704,18624512,41959424,578,421
1618425389772,18624512,41959424,578,421
1618425390860,18624512,41959424,578,421
1618425391945,18436096,41582592,578,421
1618425393040,18108416,40927232,578,421
1618425394123,18108416,40927232,578,421
1618425395204,18108416,40927232,578,421
1618425396319,18108416,40927232,578,421
1618425397395,18108416,40927232,578,421
1618425398509,18108416,40927232,578,421
1618425399631,18108416,40927232,578,421
1618425400803,18108416,40927232,578,421
1618425401929,18108416,40927232,578,421
1618425403073,18108416,40927232,578,421
1618425404177,18108416,40927232,578,421
1618425405463,18108416,40927232,578,421
1618425406570,18108416,40927232,578,421
1618425407749,18108416,40927232,578,421
1618425408874,18108416,40927232,578,421
