# timestamp,line
1619544629478,s1619544629473379072-50.00
1619544629478,s1619544629473379072-19.30
1619544629478,s1619544629473379072-61.70
1619544629478,e1619544629473379072-10.23
1619544629478,s1619544629473379072-20.00
1619544629479,e1619544629473379072-8.64
1619544630477,s1619544630473379072-19.70
1619544630477,s1619544630473379072-55.30
1619544630477,s1619544630473379072-20.50
1619544630477,e1619544630473379072-9.84
1619544630478,s1619544630473379072-59.40
1619544630478,e1619544630473379072-10.08
1619544631475,s1619544631473379072-58.80
1619544631476,s1619544631473379072-19.50
1619544631476,e1619544631473379072-9.87
1619544631476,s1619544631473379072-21.00
1619544631476,s1619544631473379072-63.10
1619544631476,e1619544631473379072-11.56
1619544632481,s1619544632473379072-21.50
1619544632481,s1619544632473379072-65.60
1619544632482,s1619544632473379072-56.30
1619544632482,e1619544632473379072-12.37
1619544632482,s1619544632473379072-20.60
1619544632482,e1619544632473379072-10.07
1619544633487,s1619544633473379072-77.20
1619544633487,s1619544633473379072-20.40
1619544633488,s1619544633473379072-63.50
1619544633488,s1619544633473379072-22.00
1619544633488,e1619544633473379072-11.23
1619544633489,e1619544633473379072-14.98
1619544634476,s1619544634473379072-62.20
1619544634476,s1619544634473379072-22.50
1619544634476,s1619544634473379072-23.70
1619544634476,e1619544634473379072-13.31
1619544634476,s1619544634473379072-76.80
1619544634476,e1619544634473379072-15.34
1619544635483,s1619544635473379072-84.90
1619544635483,s1619544635473379072-68.10
1619544635483,s1619544635473379072-23.00
1619544635483,e1619544635473379072-17.45
1619544635483,s1619544635473379072-22.00
1619544635483,e1619544635473379072-13.22
1619544636488,s1619544636473379072-24.20
1619544636488,s1619544636473379072-81.00
1619544636488,s1619544636473379072-24.50
1619544636488,e1619544636473379072-18.13
1619544636488,s1619544636473379072-73.60
1619544636488,e1619544636473379072-16.20
1619544637480,s1619544637473379072-72.90
1619544637480,s1619544637473379072-26.10
1619544637480,e1619544637473379072-17.85
1619544637480,s1619544637473379072-24.30
1619544637480,s1619544637473379072-89.70
1619544637480,e1619544637473379072-19.85
1619544638488,s1619544638473379072-25.30
1619544638488,s1619544638473379072-76.40
1619544638488,e1619544638473379072-17.89
1619544638488,s1619544638473379072-22.70
